,Element,Charge State,Configuration,J,Total Energy,Probabilities
0,Lanthanum,I,1s2 2s2 3s2 4s2 5s2 6s2 2p*2 2p4 3p*2 3p4 4p*2 4p4 5p*2 5p4 3d*4 3d6 4d*4 4d6 5d*1 ,3/2,-230813.13,100
1,Lanthanum,II,5d*2 ,2,-230808.79,75.21748
2,Lanthanum,II, 5d*1 5d1 ,2,-230808.79,20.50973
3,Lanthanum,II, 5d2 ,2,-230808.79,4.27279
4,Lanthanum,III,1s2 2s2 3s2 4s2 5s2 2p*2 2p4 3p*2 3p4 4p*2 4p4 5p*2 5p4 3d*4 3d6 4d*4 4d6 5d*1 ,3/2,-230798.42,100
5,Cerium,I,5d*1 4f*1 ,4,-240792.83,46.63146
6,Cerium,I, 5d1 4f*1 ,4,-240792.83,25.36725
7,Cerium,I, 5d*1 4f1 ,4,-240792.83,20.02482
8,Cerium,I, 5d1 4f1 ,4,-240792.83,7.97647
9,Cerium,II,5d*2 4f*1 ,7/2,-240788.48,68.53752
10,Cerium,II, 5d*1 5d1 4f*1 ,7/2,-240788.48,27.97866
11,Cerium,II, 5d2 4f*1 ,7/2,-240788.48,1.75960
12,Cerium,II, 5d*2 4f1 ,7/2,-240788.48,0.53526
13,Cerium,II, 5d*1 5d1 4f1 ,7/2,-240788.48,0.88348
14,Cerium,II, 5d2 4f1 ,7/2,-240788.48,0.30548
15,Cerium,III,4f*2 ,4,-240777.34,84.97857
16,Cerium,III, 4f*1 4f1 ,4,-240777.34,13.64154
17,Cerium,III, 4f2 ,4,-240777.34,1.37989
18,Praseodymium,I,4f*3 ,9/2,-251036.35,56.41328
19,Praseodymium,I, 4f*2 4f1 ,9/2,-251036.35,33.95768
20,Praseodymium,I, 4f*1 4f2 ,9/2,-251036.35,9.06329
21,Praseodymium,I, 4f3 ,9/2,-251036.35,0.56575
22,Praseodymium,II,4f*3 ,4,-251031.92,56.12414
23,Praseodymium,II, 4f*2 4f1 ,4,-251031.92,34.12413
24,Praseodymium,II, 4f*1 4f2 ,4,-251031.92,9.17451
25,Praseodymium,II, 4f3 ,4,-251031.92,0.57722
26,Praseodymium,III,4f*3 ,9/2,-251022.03,56.37122
27,Praseodymium,III, 4f*2 4f1 ,9/2,-251022.03,33.98036
28,Praseodymium,III, 4f*1 4f2 ,9/2,-251022.03,9.08079
29,Praseodymium,III, 4f3 ,9/2,-251022.03,0.56763
30,Neodymium,I,4f*4 ,4,-261547.74,29.06687
31,Neodymium,I, 4f*3 4f1 ,4,-261547.74,39.94646
32,Neodymium,I, 4f*2 4f2 ,4,-261547.74,24.95386
33,Neodymium,I, 4f*1 4f3 ,4,-261547.74,5.59894
34,Neodymium,I, 4f4 ,4,-261547.74,0.43388
35,Neodymium,II,4f*4 ,7/2,-261543.27,28.93516
36,Neodymium,II, 4f*3 4f1 ,7/2,-261543.27,39.95211
37,Neodymium,II, 4f*2 4f2 ,7/2,-261543.27,25.03754
38,Neodymium,II, 4f*1 4f3 ,7/2,-261543.27,5.63727
39,Neodymium,II, 4f4 ,7/2,-261543.27,0.43792
40,Neodymium,III,4f*4 ,4,-261533.22,29.04714
41,Neodymium,III, 4f*3 4f1 ,4,-261533.22,39.94411
42,Neodymium,III, 4f*2 4f2 ,4,-261533.22,24.96766
43,Neodymium,III, 4f*1 4f3 ,4,-261533.22,5.60634
44,Neodymium,III, 4f4 ,4,-261533.22,0.43475
45,Promethium,I,4f*5 ,5/2,-272329.14,13.11991
46,Promethium,I, 4f*4 4f1 ,5/2,-272329.14,29.22463
