Element,Electron Configuration,Charge State,# Known Levels,Rel. Abundance(1000K),Rel. Abundance(3000K),Rel. Abundance(6000K),,Special Cases,Total Rel. Abundance(1000K),Total Rel. Abundance(3000K),Total Rel. Abundance(6000K),,,,,,
Lanthanum,[Xe] 5d 6s2,I,343,8.73E-01,8.70E-06,1.95E-13,,[Xe] 4f14 6s2,0.403460705,0.104658142,0.003129364,,,,,,
Dysprosium,[Xe] 4f10 6s2,I,740,6.15E-01,2.81E-05,1.30E-12,,[Xe] 4f14 6s,3.23E-14,0.376224218,0.103808574,,,,,,
Erbium,[Xe] 4f12 6s2,I,634,5.13E-01,3.69E-05,1.96E-12,,,,,,,,,,,
Ytterbium,[Xe] 4f14 6s2,I,250,4.03E-01,4.37E-05,2.56E-12,,,,,,,,,,,
Neodymium,[Xe] 4f4 6s2,I,739,3.92E-01,5.66E-06,1.14E-13,,,,,,,,,,,
Samarium,[Xe] 4f6 6s2,I,501,3.68E-01,7.31E-06,2.12E-13,,,,,,,,,,,
Cerium,[Xe] 4f 5d 6s2,I,953,3.23E-01,3.21E-06,7.45E-14,,,,,,,,,,,
Gadolinium,[Xe] 4f7 5d 6s2,I,634,3.07E-01,4.28E-05,3.56E-12,,,,,,,,,,,
Europium,[Xe] 4f7 6s2,I,592,1.94E-01,4.43E-06,1.70E-13,,,,,,,,,,,
Terbium,[Xe] 4f9 6s2,I,600,1.65E-01,7.71E-06,3.14E-13,,,,,,,,,,,
Holmium,[Xe] 4f11 6s2,I,234,1.53E-01,9.34E-06,4.42E-13,,,,,,,,,,,
Thulium,[Xe] 4f13 6s2,I,631,1.42E-01,1.24E-05,6.27E-13,,,,,,,,,,,
Lutetium,[Xe] 4f14 5d 6s2,I,234,9.81E-02,4.87E-07,6.15E-12,,,,,,,,,,,
Praseodymium,[Xe] 4f3 6s2,I,430,6.09E-02,3.56E-07,3.63E-15,,,,,,,,,,,
